id,name,image_link,product_link,website_link,product_api_url,api_featured_image
497,Physicians Formula Argan Wear Ultra-Nourishing Argan Oil Bronzer,"https://d3t32hsnjxo7q6.cloudfront.net/i/ad40b33db806e7c0f0edcddf331dc182_ra,w158,h184_pa,w158,h184.jpg",https://well.ca/products/physicians-formula-argan-wear_102669.html,https://well.ca,http://makeup-api.herokuapp.com/api/v1/products/497.json,//s3.amazonaws.com/donovanbailey/products/api_featured_images/000/000/497/original/open-uri20171223-4-106cc2w?1514063330
496,e.l.f. Bronzer Palette,"https://d3t32hsnjxo7q6.cloudfront.net/i/43c49769e362a003f88479de225c6dd6_ra,w158,h184_pa,w158,h184.jpg",https://well.ca/products/elf-bronzer-palette_117847.html,https://well.ca,http://makeup-api.herokuapp.com/api/v1/products/496.json,//s3.amazonaws.com/donovanbailey/products/api_featured_images/000/000/496/original/data?1514063330
495,Maybelline Face Studio Master Hi-Light Light Booster Bronzer,"https://d3t32hsnjxo7q6.cloudfront.net/i/991799d3e70b8856686979f8ff6dcfe0_ra,w158,h184_pa,w158,h184.png",https://well.ca/products/maybelline-face-studio-master_88837.html,https://well.ca,http://makeup-api.herokuapp.com/api/v1/products/495.json,//s3.amazonaws.com/donovanbailey/products/api_featured_images/000/000/495/original/open-uri20171223-4-9hrto4?1514063330
494,Fake Bake Beauty Bronzer,"https://d3t32hsnjxo7q6.cloudfront.net/i/9359d3b10235c72fc904dd314b951b70_ra,w158,h184_pa,w158,h184.jpg",https://well.ca/products/fake-bake-beauty-bronzer_50205.html,https://well.ca,http://makeup-api.herokuapp.com/api/v1/products/494.json,//s3.amazonaws.com/donovanbailey/products/api_featured_images/000/000/494/original/data?1514063330
493,Physicians Formula Bronze Booster Glow-Boosting Pressed Bronzer,"https://d3t32hsnjxo7q6.cloudfront.net/i/7b33d70c5494b72f23edf9d07acf599d_ra,w158,h184_pa,w158,h184.jpeg",https://well.ca/products/physicians-formula-bronze-booster_61146.html,https://well.ca,http://makeup-api.herokuapp.com/api/v1/products/493.json,//s3.amazonaws.com/donovanbailey/products/api_featured_images/000/000/493/original/open-uri20171223-4-hiqirv?1514063330
492,Almay Smart Shade Powder Bronzer,"https://d3t32hsnjxo7q6.cloudfront.net/i/d03d4a62759d7805ff8b41caebb4cbb0_ra,w158,h184_pa,w158,h184.jpeg",https://well.ca/products/almay-smart-shade-powder-bronzer_92877.html,https://well.ca,http://makeup-api.herokuapp.com/api/v1/products/492.json,//s3.amazonaws.com/donovanbailey/products/api_featured_images/000/000/492/original/data?1514063304
491,e.l.f. Bronzers ,"https://d3t32hsnjxo7q6.cloudfront.net/i/fc7ddf787472683b7f20e43bafb6f2ea_ra,w158,h184_pa,w158,h184.jpg",https://well.ca/products/elf-bronzers_117884.html,https://well.ca,http://makeup-api.herokuapp.com/api/v1/products/491.json,//s3.amazonaws.com/donovanbailey/products/api_featured_images/000/000/491/original/data?1514063305
490,Earth Lab Loose Mineral Bronzer,"https://d3t32hsnjxo7q6.cloudfront.net/i/df8c3964f9e20d2906eb065a877c4322_ra,w158,h184_pa,w158,h184.jpeg",https://well.ca/products/earth-lab-loose-mineral-bronzer_78790.html,https://well.ca,http://makeup-api.herokuapp.com/api/v1/products/490.json,//s3.amazonaws.com/donovanbailey/products/api_featured_images/000/000/490/original/data?1514063305
489,Cargo Cosmetics Swimmables Water Resistant Bronzer,"https://d3t32hsnjxo7q6.cloudfront.net/i/ceed96b9e7270082e045f539ff2f89c7_ra,w158,h184_pa,w158,h184.jpg",https://well.ca/products/cargo-cosmetics-swimmables-water_106013.html,https://well.ca,http://makeup-api.herokuapp.com/api/v1/products/489.json,//s3.amazonaws.com/donovanbailey/products/api_featured_images/000/000/489/original/data?1514063330
488,Maybelline Fit Me Bronzer,"https://d3t32hsnjxo7q6.cloudfront.net/i/d4f7d82b4858c622bb3c1cef07b9d850_ra,w158,h184_pa,w158,h184.png",https://well.ca/products/maybelline-fit-me-bronzer_31265.html,https://well.ca,http://makeup-api.herokuapp.com/api/v1/products/488.json,//s3.amazonaws.com/donovanbailey/products/api_featured_images/000/000/488/original/open-uri20171223-4-deo82c?1514063329
