color,count
baby blue,2
tickled,2
2.0yg,2
jewel,2
topaz,2
2.0n,2
2.0p,2
1.2yg,2
haze,2
1.2y,2
1.2p,2
oro,2
envy,2
beam,2
electric blue,2
2.1y,2
grunge,2
3.0r,2
deep purple,2
3.3n,2
daydream,2
3.2r,2
3.2n,2
3.1y,2
3.1r,2
golden olive,2
black shimmer,2
gray,2
3.0y,2
gold shimmer,2
bronze shimmer,2
frenchie,2
bronze,2
1.2n,2
goal digger,2
pink parfait,2
1.0ns,2
rosie,2
chocolate brown,2
dahlia,2
fresh,2
smoke,2
bahama mama,2
st tropez,2
brave,2
1.0p,2
1.0n,2
posh,2
cafe,2
fearless,2
papaya,2
acai berry,2
fair 05,2
seashell,2
1.1n,2
teal,2
1.1p,2
coral  ,1
summer ,1
intuition ,1
soft spoken ,1
natural red 02 ,1
oh baby pink ,1
hamptons ,1
wine not ,1
brandy berry ,1
haute pink ,1
rose 03 ,1
soft terracotta 04 ,1
naughty nude ,1
blushing beauty ,1
bali (medium rose pink) ,1
ibiza (shimmering hot pink) ,1
bronzilla ,1
airy - shimmering mauve ,1
creation - matte rosy-pink ,1
flashy - matte coral ,1
mauvelous ,1
classy coral ,1
rose (7860c) ,1
black cherry (cream) ,1
coral pink (301) ,1
10-delizioso pink (hot pink matte) ,1
catwalk pink  ,1
cabaret blend  ,1
11-bella rosa (bright raspberry matte) ,1
catalina (cotton candy pink) ,1
bronze beauty (shimmer) ,1
matte naked  ,1
matte lux ,1
key largo (tropical punch) ,1
matte love ,1
laguna (tropical melon) ,1
mendocino (wildflower pink with a gold sheen) ,1
rome (soft tangerine) ,1
baby pink (300) ,1
poppy (302) ,1
tender rose ,1
anna red (400) ,1
super orange (600) ,1
beige pink (700) ,1
matte kiss ,1
matte innocence  ,1
matte iconic ,1
matte glam  ,1
boho chic (cb11) light blue-toned pink ,1
glow (cb05) plummy pink ,1
natural (cb02) soft light pink ,1
orange (cb09) soft orange ,1
tea rose (cb03) medium beige-pink  ,1
matte flirty ,1
soft berry ,1
08-corallina (coral shimmer) ,1
05-luminoso (luminous peach shimmer ) ,1
coral addict ,1
03-berry amore (rose berry with gold shimmer ) ,1
autum (neutral) ,1
