brand,count
nyx,164
clinique,93
dior,74
maybelline,54
covergirl,54
smashbox,46
l'oreal,46
physicians formula,43
benefit,41
revlon,29
e.l.f.,27
cargo cosmetics,20
pure anada,16
marcelle,15
almay,14
pacifica,13
iman,13
milani,13
dr. hauschka,12
wet n wild,12
